Player Name,Age,Team,League,Position,Score Type,Stoke Score
Gonçalo Faria Costa,23,Portimonense,Primeira Liga,Left Back,Full Back,87.95
Leonardo Daniel Ulineia Buta,21,Gil Vicente,Primeira Liga,Left Back,Full Back,80.65
Fredrik Aursnes,27,Benfica,Primeira Liga,Left Back,Full Back,74.97
Nuno Miguel Gomes dos Santos,28,Sporting CP,Primeira Liga,Left Wing Back,Full Back,74.84
Tiago Filipe Alves Araújo,22,Estoril,Primeira Liga,Left Back,Full Back,69.91
Cristian Alexis Borja González,30,Sporting Braga,Primeira Liga,Left Back,Full Back,66.59
Francisco Sampaio Moura,24,Famalicão,Primeira Liga,Left Back,Full Back,63.16
Nélson Conceição da Luz,25,Vitória Guimarães,Primeira Liga,Left Wing Back,Full Back,61.43
Bruno Alberto Langa,25,Chaves,Primeira Liga,Left Back,Full Back,56.77
Wendell Nascimento Borges,30,FC Porto,Primeira Liga,Left Back,Full Back,56.05
Matheus Pereira de Souza,22,Vizela,Primeira Liga,Left Back,Full Back,54.38
João Carlos Araújo Fonseca Silva,34,SC Farense,Primeira Liga,Left Back,Full Back,53.15
Adrián Marín Gómez,26,Sporting Braga,Primeira Liga,Left Back,Full Back,51.6
Sopuruchukwu Bruno Onyemaechi,24,Boavista,Primeira Liga,Left Back,Full Back,50.79
João Carlos Silva Reis,31,Estrela Amadora,Primeira Liga,Left Wing Back,Full Back,47.91
Afonso Manuel Abreu de Freitas,23,Vitória Guimarães,Primeira Liga,Left Wing Back,Full Back,47.08
Fábio Ronaldo Costa Conceição,22,Rio Ave,Primeira Liga,Left Wing Back,Full Back,46.52
Leonardo Filipe Cruz Lelo,23,Casa Pia AC,Primeira Liga,Left Wing Back,Full Back,40.72
Godfried Ayesu Owusu Frimpong,24,Moreirense,Primeira Liga,Left Back,Full Back,34.39
Sandro Plínio Rosa Cruz,22,Chaves,Primeira Liga,Left Back,Full Back,25.12
Eric Junior Bocat,24,Sint-Truiden,Jupiler Pro League,Left Wing Back,Full Back,90.93
Moussa N''Diaye,21,RSC Anderlecht,Jupiler Pro League,Left Back,Full Back,85.64
Daam Foulon,24,Mechelen,Jupiler Pro League,Left Back,Full Back,81.94
Olivier Deman,23,Cercle Brugge,Jupiler Pro League,Left Wing Back,Full Back,80.01
Loïc Lapoussin,27,Union Saint-Gilloise,Jupiler Pro League,Left Wing Back,Full Back,77.8
Dion De Neve,22,Kortrijk,Jupiler Pro League,Left Back,Full Back,75.09
Maxim De Cuyper,22,Club Brugge,Jupiler Pro League,Left Back,Full Back,73.81
Malick Martin Fofana,18,Gent,Jupiler Pro League,Left Wing Back,Full Back,68.3
Isaac Mbenza,27,Sporting Charleroi,Jupiler Pro League,Left Wing Back,Full Back,63.3
Joris Kayembe Ditu,29,KRC Genk,Jupiler Pro League,Left Back,Full Back,54.64
Gerardo Daniel Arteaga Zamora,25,KRC Genk,Jupiler Pro League,Left Back,Full Back,53.97
Hamza Mendyl,25,OH Leuven,Jupiler Pro League,Left Wing Back,Full Back,48.96
Archie Brown,21,Gent,Jupiler Pro League,Left Wing Back,Full Back,46.74
Jordan Bos,20,Westerlo,Jupiler Pro League,Left Back,Full Back,43.71
Jordan Semedo Varela,20,Cercle Brugge,Jupiler Pro League,Left Wing Back,Full Back,40.18
Yentl Van Genechten,23,AS Eupen,Jupiler Pro League,Left Wing Back,Full Back,39.71
Tuur Rommens,20,Westerlo,Jupiler Pro League,Left Back,Full Back,38.04
Aron Dønnum,25,Standard Liège,Jupiler Pro League,Left Wing Back,Full Back,35.33
Abner Felipe Souza de Almeida,27,RWDM,Jupiler Pro League,Left Wing Back,Full Back,33.37
