,player_name,primary_position,player_season_minutes,NP xG,NP Goals,NP Shots,OP xA,OP Key Passes,OBV Dribble & Carry,player_season_aerial_wins_90 Percentile,player_season_aerial_ratio Percentile,PAdj Pressures,player_season_pressure_regains_90 Percentile,player_season_carries_90 Percentile,player_season_touches_inside_box_90 Percentile,player_season_obv_shot_90 Percentile,Succesful Dribbles,Top 5 PSV-99,Average Distance
2,Andy Carroll,Left Centre Forward,2101.2,2,52,27,16,27,10,98,100,2,2,14,49,38,17,22,6
11,Billy Sharp,Left Centre Forward,1669.1667,29,13,38,40,41,19,24,19,27,40,51,70,54,13,54,21
13,Dwight Gayle,Centre Forward,2530.2166,35,11,22,70,83,49,48,56,52,48,27,56,29,6,30,73
25,Benik Afobe,Centre Forward,1050.9833,46,25,52,19,25,29,70,65,3,35,35,76,2,48,76,5
43,Jay Rodríguez,Centre Forward,1942.8999,60,76,54,29,43,6,30,46,97,73,56,25,71,21,10,100
50,Jordan Hugill,Centre Forward,1514.9166,8,27,5,13,11,79,97,68,16,38,5,11,49,16,56,2
52,Ashley Barnes,Centre Forward,2099.25,76,54,86,57,79,22,56,52,92,75,44,84,10,14,3,87
77,Karlan Ahearne-Grant,Centre Forward,1895.5999,37,10,44,3,2,81,25,24,57,79,70,33,8,52,71,89
82,Brandon Thomas-Asante,Centre Forward,2095.5,87,56,78,51,52,71,40,25,62,63,65,65,35,81,51,81
91,Michael Obafemi,Centre Forward,1295.8,21,38,10,83,33,2,5,14,63,59,22,16,100,67,100,14
93,Nahki Wells,Centre Forward,3042.8167,71,59,62,97,73,40,41,27,89,81,62,43,37,56,60,83
96,Oliver McBurnie,Right Centre Forward,2430.4165,97,90,98,63,48,59,90,90,51,24,60,100,97,44,19,10
122,Nick Powell,Right Centre Forward,1162.5999,54,68,68,86,90,30,83,79,90,67,89,75,21,33,5,90
135,Jerry Yates,Centre Forward,3661.3994,24,60,14,62,56,67,33,37,21,44,59,32,83,78,46,56
141,Carlton Morris,Right Centre Forward,3930.6829,70,86,90,90,94,75,86,89,17,37,76,95,86,84,49,17
145,Shane Long,Right Centre Forward,1562.1666,5,2,2,37,13,21,65,62,40,84,37,2,13,24,95,44
147,Tom Bradshaw,Centre Forward,3226.4836,92,87,76,35,59,14,78,30,65,70,11,89,46,10,36,67
151,Troy Deeney,Left Centre Forward,2244.067,10,19,3,78,63,65,89,81,14,51,13,13,16,22,27,3
159,Emil Riis Jakobsen,Left Centre Forward,1791.7169,63,51,46,52,70,89,38,41,46,10,54,54,67,49,79,49
163,Yakou Meïté,Left Centre Forward,1546.2999,68,46,59,43,62,94,75,95,32,27,43,57,22,76,46,46
173,Matt Godden,Right Centre Forward,2335.8833,40,44,40,81,21,54,51,51,56,46,10,35,52,5,16,65
200,Elijah Adebayo,Left Centre Forward,3753.9338,65,32,60,41,57,8,62,70,60,62,71,83,11,73,59,33
203,Gary Madine,Centre Forward,1910.8331,38,29,41,60,67,37,95,94,5,3,17,63,5,43,21,11
211,Ross Stewart,Centre Forward,1139.3334,100,100,100,54,38,83,81,92,54,68,67,97,56,38,36,40
220,Ched Evans,Left Centre Forward,1431.9833,81,97,87,59,76,27,63,54,43,21,87,81,92,65,11,32
228,Ashley Fletcher,Centre Forward,1340.0833,3,14,6,27,16,33,71,57,71,83,32,5,57,40,24,70
246,Lukas Jutkiewicz,Left Centre Forward,2115.8167,41,40,83,22,24,11,100,98,24,54,21,79,59,25,14,38
263,Jordan Rhodes,Centre Forward,1620.4166,67,43,71,8,6,5,84,59,35,56,25,67,30,2,8,84
264,Teemu Pukki,Centre Forward,3188.7664,86,63,94,92,86,86,6,10,78,60,48,98,65,90,63,48
273,Conor Washington,Left Centre Forward,1883.6833,27,48,37,17,10,43,11,2,33,57,19,40,60,32,84,57
284,Lucas Eduardo Santos João,Right Centre Forward,2041.8002,11,41,8,11,14,46,54,67,30,78,46,10,27,57,46,25
305,Mark Thomas Harris,Centre Forward,1751.7501,16,17,17,65,78,38,8,5,44,41,68,24,44,59,84,63
321,Chiedozie Ogbene,Right Centre Forward,3563.4995,14,37,11,84,60,87,27,33,6,25,81,8,63,87,70,52
329,Sory Kaba,Left Centre Forward,1233.8667,90,92,70,49,68,3,79,73,11,11,41,62,62,54,2,35
341,Chris Martin,Left Centre Forward,1158.9333,48,70,25,6,17,13,94,78,38,52,24,59,87,35,29,8
373,Scott Hogan,Right Centre Forward,2950.8337,44,62,24,10,29,24,21,22,10,22,3,29,70,11,94,19
374,Oscar Eduardo Estupiñán Vallesilla,Centre Forward,2752.45,84,84,57,21,5,41,52,40,73,76,8,21,84,30,25,41
382,Joël Piroe,Centre Forward,4122.616,83,78,97,32,44,76,16,21,81,33,78,71,79,70,32,97
406,Sam Gallagher,Centre Forward,2485.4502,32,65,21,30,30,48,73,97,95,94,30,22,73,46,89,95
408,Kion Etete,Right Centre Forward,1383.1165,30,33,75,2,3,32,76,83,84,98,79,68,17,94,73,75
414,Vakoun Issouf Bayo,Centre Forward,1061.7334,98,73,84,79,97,17,60,76,48,13,40,87,90,41,97,29
426,Keinan Davis,Centre Forward,2580.4165,56,49,43,44,19,63,43,49,37,6,84,60,48,92,78,13
430,Joe Gelhardt,Centre Forward,1425.1503,52,30,65,67,92,70,17,13,100,100,75,3,33,51,17,76
433,Antoine Semenyo,Right Centre Forward,1375.6332,73,79,79,87,22,57,57,63,68,43,86,90,43,95,66,62
438,Callum Robinson,Centre Forward,1691.0,43,57,95,94,98,25,13,16,22,14,92,51,6,86,6,54
439,Danny Ward,Centre Forward,2715.3833,6,21,29,48,37,16,59,44,8,19,6,14,41,19,66,22
443,Josh Brendan David Magennis,Centre Forward,1439.3666,25,3,30,38,35,44,92,87,19,16,2,46,3,3,52,24
453,Nathan Broadhead,Left Centre Forward,1173.5167,22,67,13,14,54,73,14,11,29,17,63,6,75,89,33,94
457,Viktor Gyökeres,Left Centre Forward,4714.783,75,75,89,95,100,100,37,32,13,5,97,86,89,97,92,59
466,Lyndon Dykes,Centre Forward,3195.817,62,24,56,46,75,35,87,86,49,49,29,48,76,37,84,27
467,Adam Uche Idah,Centre Forward,1287.8002,51,16,49,73,65,52,29,71,79,65,83,27,19,62,87,51
499,Troy Parrott,Right Centre Forward,2102.0332,19,6,48,56,71,60,35,29,75,90,94,44,40,79,38,43
521,Liam Cullen,Left Centre Forward,1329.7832,95,95,51,33,51,51,22,43,98,89,38,73,98,8,13,68
539,Daryl Dike,Centre Forward,1330.45,94,89,92,24,49,56,67,75,59,8,16,92,25,29,62,86
556,Morgan Rogers,Centre Forward,1371.35,13,5,16,98,87,97,46,35,67,86,95,30,32,100,40,92
566,Liam Delap,Left Centre Forward,1375.4833,78,35,81,5,8,84,49,38,25,32,57,78,14,63,98,60
570,Ellis Simms,Centre Forward,1218.6167,79,94,73,68,81,62,68,83,41,30,49,52,95,60,75,30
578,Thomas Christopher Cannon,Left Centre Forward,1814.1666,49,81,67,76,40,78,44,48,70,71,33,37,78,75,81,16
582,Tyrhys Dolan,Centre Forward,2140.0498,17,22,35,71,84,95,3,6,94,97,100,19,51,68,40,98
586,Ryan Longman,Centre Forward,2059.3835,33,8,33,25,46,90,32,60,76,92,90,17,24,71,43,71
609,Tommy Conway,Right Centre Forward,2036.3665,59,83,32,75,32,92,19,17,86,87,52,38,94,27,90,79
616,Cameron Archer,Centre Forward,1643.5167,89,98,63,100,95,68,2,3,83,29,73,94,81,83,68,78
657,Iliman Ndiaye,Left Centre Forward,3968.667,57,71,19,89,89,98,10,8,87,95,98,41,68,98,56,37
6,Ben Brereton Díaz,Left Wing,3730.867,85,85,90,39,41,51,46,61,12,2,49,66,95,34,76,44
36,Ismaïla Sarr,Right Wing,3448.8,95,76,71,66,37,76,63,59,29,27,44,78,39,61,83,29
45,Johann Berg Guðmunds­son,Right Wing,2108.2834,27,56,61,27,34,20,73,93,44,37,61,27,46,15,20,80
71,Duane Holmes,Right Wing,1750.8666,15,22,17,90,73,54,27,56,20,29,32,2,29,37,54,41
89,Matt Phillips,Left Wing,1300.0002,5,39,20,73,46,49,76,83,34,22,68,10,76,41,78,71
101,Ryan Hedges,Right Wing,2734.5835,17,37,15,56,71,41,51,51,83,90,80,20,93,39,63,100
